Measure,sex,Age,Year,No. of deaths,Upper bound,Lower Bound
Deaths,Female,50-74,2006,9550.995748240875,12989.47935730447,6754.57456629487
Deaths,Male,10-24,2006,164.28463759218778,237.9450574454467,101.0864976100526
Deaths,Female,10-24,2006,145.07889805407154,226.5376771115909,87.8921644578346
Deaths,Male,10-19,2006,64.29779704797822,93.69257696864548,38.10886815053029
Deaths,Female,10-19,2006,64.0997580704482,97.80727999353726,39.54256456277932
Deaths,Male,10 - 54,2006,4122.883122622274,5798.193621878828,2799.869866762664
Deaths,Female,10 - 54,2006,2450.396112588513,3577.702735606965,1592.391245140254
Deaths,Male,15-39,2006,853.9707579509999,1168.512695497794,591.2692294674324
Deaths,Female,15-39,2006,523.4353044511867,803.0958720798079,320.0252192811216
Deaths,Male,65-74,2006,7694.721403902623,10514.62644137049,5439.800571550039
Deaths,Female,65-74,2006,5516.832693072838,7306.829932639485,4002.914454382296
Deaths,Male,95+,2006,225.6783929658346,286.4756581243882,173.9045164441976
Deaths,Female,95+,2006,478.5467434621844,602.6120187332881,354.65985196645846
Deaths,Male,75-84,2006,7432.071296955078,9693.40267403006,5615.068745689525
Deaths,Female,75-84,2006,7660.4380207743325,9741.136544135908,5991.587299624479
Deaths,Male,20-54,2006,4058.585325574301,5718.402125131956,2766.5251336192364
Deaths,Female,20-54,2006,2386.2963545180646,3489.183498205952,1547.6178753183551
Deaths,Male,15-19,2005,63.59579912260015,94.87039365342986,37.17937729901289
Deaths,Female,15-19,2005,65.16405311760393,105.52411120341812,40.70502297991749
Deaths,Male,20-24,2005,99.39575578467124,142.98372933263747,61.89238618806973
Deaths,Female,20-24,2005,82.75286495818217,133.10146111729628,47.43686436559063
Deaths,Male,25-29,2005,82.98954697839291,113.26524199609167,55.76122728208191
Deaths,Female,25-29,2005,43.9587438784286,72.13955963819784,24.293817212374623
Deaths,Male,30-34,2005,200.68125963960256,272.0721399674211,139.2669247159881
Deaths,Female,30-34,2005,152.65588139440408,246.09078371877985,89.81254002109154
Deaths,Male,35-39,2005,404.2525084678911,553.6311845948419,283.61541393218295
Deaths,Female,35-39,2005,187.26651236898516,291.79300630378503,110.15972827408228
Deaths,Male,40-44,2005,704.4946713422019,977.78525594501,481.0394873430329
Deaths,Female,40-44,2005,329.6403099125845,503.9974238868175,203.57752461366616
Deaths,Male,45-49,2005,1042.8193925697692,1487.4710882296474,698.2588848436664
Deaths,Female,45-49,2005,636.8981294108963,965.532984004878,412.1711844211756
Deaths,Male,50-54,2005,1565.8523118721662,2298.896725708093,1049.030409087807
Deaths,Female,50-54,2005,947.5418709912232,1449.7236329522177,624.3478826832993
Deaths,Male,55-59,2005,2084.830016540323,3003.8579382209214,1378.9413729608548
Deaths,Female,55-59,2005,1087.1434056410528,1643.5001445923317,708.5136420371971
Deaths,Male,60-64,2005,2736.546749129728,3836.727270021273,1804.2157591495495
Deaths,Female,60-64,2005,2008.7515412917987,2902.2282972576645,1385.030700873136
Deaths,Male,65-69,2005,3726.9753298986575,5219.081314829215,2558.381964724685
Deaths,Female,65-69,2005,2523.2173380751674,3528.623193828845,1766.8005722715932
Deaths,Male,70-74,2005,4158.756070995349,5594.603366091174,2944.4918616562213
Deaths,Female,70-74,2005,2974.00461314955,3998.623850031553,2192.4091763890838
Deaths,Male,75-79,2005,3952.295457579406,5227.388687936845,2846.611341194836
Deaths,Female,75-79,2005,3659.798716641172,4769.55174862849,2800.002984782443
Deaths,Male,15-49,2005,2598.228933905128,3596.025208083678,1792.6290215504876
Deaths,Female,15-49,2005,1498.3364950410842,2318.251749362627,941.2115687060748
Deaths,Male,50-69,2005,10114.204407440877,14217.526692109686,6826.909897081925
Deaths,Female,50-69,2005,6566.654155999241,9524.772809369002,4520.478225929678
Deaths,Male,80-84,2005,3090.2062923579047,3907.2768602542096,2367.971211592104
Deaths,Female,80-84,2005,4050.689216412836,5117.701547809783,3161.0526577646538
Deaths,Male,85-89,2005,1802.653196378439,2238.197198569258,1428.300811777817
Deaths,Female,85-89,2005,2973.673074092955,3719.861576118048,2342.8890860239394
Deaths,Male,90-94,2005,688.3388341880062,839.8461869286917,542.2420836704515
Deaths,Female,90-94,2005,1286.6654579459696,1599.9475716880015,967.1871062337352
Deaths,Male,50-74,2005,14272.960478436222,19732.26222643356,9849.425219617971
Deaths,Female,50-74,2005,9540.658769148797,13419.732217121862,6766.957657095187
Deaths,Male,10-24,2005,162.99155490727114,236.14830550063675,98.90302424461154
Deaths,Female,10-24,2005,147.91691807578616,240.35760459546032,87.62019276810213
Deaths,Male,10-19,2005,63.59579912260015,94.87039365342986,37.17937729901289
Deaths,Female,10-19,2005,65.16405311760393,105.52411120341812,40.70502297991749
Deaths,Male,10 - 54,2005,4164.081245777297,5850.607367059348,2863.602006569811
Deaths,Female,10 - 54,2005,2445.8783660323065,3788.344279353429,1550.4638826010964
Deaths,Male,15-39,2005,850.9148699931571,1149.701173840321,593.7126956552903
Deaths,Female,15-39,2005,531.7980557176043,830.9921565614974,317.1385637309154
Deaths,Male,65-74,2005,7885.731400894005,10713.785950595848,5546.792819053641
Deaths,Female,65-74,2005,5497.221951224714,7452.736112280736,4009.400430148705
Deaths,Male,95+,2005,216.79906076893556,273.06906100354746,164.04886795703507
Deaths,Female,95+,2005,465.0591577405476,590.3442481227893,347.8210159947984
Deaths,Male,75-84,2005,7042.501749937309,9033.572169574143,5229.681124366669
Deaths,Female,75-84,2005,7710.487933054018,9822.279497542751,5976.90958726586
Deaths,Male,20-54,2005,4100.485446654698,5763.693542696419,2823.5945860651377
Deaths,Female,20-54,2005,2380.7143129147057,3690.858782680328,1512.922941381922
Deaths,Male,15-19,2007,66.09380801323384,95.47825176159856,40.71286187183811
Deaths,Female,15-19,2007,64.53922366818551,98.26473807555335,39.85646089402222
Deaths,Male,20-24,2007,103.00804071624596,146.6024757927687,66.74461767622279
